"geoid","temp","rh","wbt"
"06037",27.8,24.6,59.9
"06039",29.1,23.8,61.3
"06041",16.5,76.6,56.8
"06043",29.1,23.8,61.3
"06045",23.4,42.4,59.8
"06047",32,19.7,62.9
"06049",23.4,38.8,58.8
"06051",20.5,33,53
"06053",14,93.3,55.8
"06055",27.8,25,60.1
"06057",24.7,27.2,56.9
"06059",23.4,59.2,64.3
"06061",20.7,34,53.6
"06063",22.1,32.9,55.2
"06065",26.7,36.5,62.8
"06067",28.5,29.9,63
"06069",26.5,25.8,58.7
"06071",32.7,17.9,62.8
"06073",25.2,38.8,61.4
"06075",13.4,93.9,54.8
"06077",28,31.5,62.9
"06079",25.7,35.6,61.1
"06081",19,62.3,57.9
"06083",24.6,25.8,56.2
"06085",25.9,29.2,59.2
"06087",22.4,51.7,60.8
"06089",24.5,35.3,59.3
"06091",19.1,33.2,51.1
"06093",19.9,54.9,57.7
"06095",27.2,33.9,62.7
"06097",13,94.7,54.3
"06099",29.9,25.1,62.9
"06101",29.6,25,62.4
"06103",31.1,18.4,61.1
"06105",23.1,37.9,58.1
"06107",16.9,36.3,48.8
"06109",19.3,31.9,51
"06111",24.4,46.7,62.6
"06113",27.7,30.9,62.3
"06115",30.6,21.2,62
"08001",25.6,40,62.4
"08003",22.9,36.5,57.4
"08005",25.6,40,62.4
"08007",20.3,46.8,56.3
"08009",27.1,45,66.1
"08011",27.5,42.1,65.8
"08013",24.2,41.4,60.7
"08014",24.2,41.4,60.7
"08015",13.6,47.8,46.3
"08017",26.3,47.6,65.7
"08019",12.5,51.5,45.3
"08021",22.8,35.4,56.9
"08023",22,39.6,57
"08025",27.8,40.8,65.9
"08027",15.9,50.3,50.4
"08029",24.1,34.8,58.6
"08031",24.3,40.6,60.6
"08033",23.2,36,57.7
"08035",20.9,47.3,57.4
"08037",17.5,45.5,51.8
"08039",25.1,42.9,62.5
"08041",22.4,47.5,59.7
"08043",18.4,47.5,53.6
"08045",19.7,41.9,54.2
"08047",12.5,51.5,45.3
"08049",15.3,46.5,48.7
"08051",18,45,52.4
"08053",13.7,49.2,46.8
"08055",20.2,47.9,56.5
"08057",17.9,41.2,51.4
"08059",15.4,50.2,49.6
"08061",26.3,47.2,65.6
"08063",27.1,46.3,66.5
"08065",12.8,50.4,45.6
"08067",25.1,34.3,59.8
"08069",20.8,45.6,56.8
"08071",27.7,38,64.8
"08073",25,43.8,62.6
"08075",26.1,45.9,64.9
"08077",24.8,32.2,58.7
"08079",13.7,49.6,46.8
"08081",25.7,24.6,57.2
"08083",25.8,31.2,59.8
"08085",23.2,34.6,57.3
"08087",26.8,43.3,65.2
"08089",27.8,40.5,65.8
"08091",12.7,52.8,45.9
"08093",15.9,49.4,50.2
"08095",26.8,46,66
"08097",12.7,50.5,45.5
"08099",27.9,48.7,68.5
"08101",26,42.1,63.6
"08103",23.9,28.7,56.3
"08105",16.2,47.8,50.3
"08107",18.4,36.6,51
"08109",22,38.5,56.7
"08111",9.7,57,41.9
"08113",25.6,31.4,59.6
"08115",26.8,46,66
"08117",12.7,51.1,45.6
"08119",17.9,49.3,53.3
"08121",26.5,44.7,65.1
"08123",26.3,41.1,63.7
"08125",26.3,48.9,66.1
"09001",23.5,85,70.8
"09003",21.9,82.7,67.5
"09005",22.7,82.8,68.9
"09007",22.7,86,69.6
"09009",23,84.8,69.9
"09011",22.4,86.1,69.1
"09013",21.8,84.1,67.6
"09015",21.6,84.9,67.4
"10001",25.8,74.4,72.2
"10003",25.2,75.7,71.5
"10005",25.7,77.5,72.8
"11001",26,74.6,72.5
"12001",27.9,79.2,77
"12003",27.9,79,76.9
"12005",28.2,81.1,78
"12007",27.7,78.4,76.4
"12009",28.2,83,78.5
"12011",28.7,77.8,78
"12013",27.9,78.7,76.9
"12015",28.6,79.6,78.3
"12017",28,79,77.1
"12019",28.2,77.4,77
"12021",28.7,78,78.1
"12023",28,78.4,77
"12027",28.4,78.1,77.6
"12029",28.4,79.7,78
"12031",27.8,82.1,77.6
"12033",28.1,82.5,78.2
"12035",28.2,79.3,77.5
"12037",28.2,81.5,78.1
"12039",27.6,79.3,76.5
"12041",27.9,79.3,77
"12043",28.6,77.8,77.8
"12045",28.1,81.1,77.8
"12047",27.8,78.1,76.5
"12049",28.4,77.7,77.5
"12051",28.6,78.4,78
"12053",27.9,79.7,77.1
"12055",28.4,78.3,77.6
"12057",28.6,76.8,77.6
"12059",28.2,79.4,77.6
"12061",28.5,81,78.5
"12063",28.3,78.4,77.5
"12065",27.7,80.5,77
"12067",27.9,79.3,77
"12069",28.3,76.7,77
"12071",28.6,79,78.1
"12073",27.8,80,77
"12075",28,78.9,77.1
"12077",27.8,82,77.6
"12079",27.8,79.3,76.8
"12081",28.3,78.6,77.5
"12083",28.5,75.7,77.1
"12085",28.4,80.6,78.2
"12086",29.1,74.7,77.9
"12087",28.7,78.9,78.3
"12089",27.8,82.5,77.7
"12091",27.9,79.2,77
"12093",28.4,78.6,77.7
"12095",28.4,76.6,77.2
"12097",28.3,77.6,77.3
"12099",28.5,79.1,78
"12101",28.3,78.3,77.4
"12103",28.7,79.1,78.3
"12105",28.6,76.6,77.5
"12107",28.5,76.1,77.2
"12109",27.8,82.4,77.7
"12111",28.4,81.2,78.4
"12113",28,81.5,77.8
"12115",28.5,80.1,78.3
"12117",28.4,76.8,77.2
"12119",28,78.7,77
"12121",27.8,79.3,76.8
"12123",27.7,80.8,77.1
"12125",27.9,79,76.9
"12127",28.1,81.1,77.8
"12129",28.3,80.6,78.1
"12131",28,78.2,76.9
"12133",28.2,79.5,77.6
"13001",28.1,77.4,76.9
"13003",27.6,79.6,76.6
"13005",27.9,77.7,76.6
"13007",27.8,75.8,75.9
"13009",28.3,71,75.5
"13011",26.5,74,73.2
"13013",26.8,71.9,73.2
"13015",26.2,74.6,72.9
"13017",27.8,75.9,76
"13019",27.5,77.8,75.9
"13021",28.1,72.7,75.6
"13023",28.2,72.7,75.8
"13025",27.8,79.6,76.9
"13027",27.6,79.4,76.5
"13029",27.9,77.9,76.7
"13031",27.8,76.5,76.1
"13033",27.8,76.2,76
"13035",26.9,71.1,73.2
"13037",28,74.8,76
"13039",27.8,82.5,77.7
"13043",27.9,76.6,76.3
"13045",26.6,72.9,73.1
"13047",25.4,74.6,71.5
"13049",27.8,79.8,77
"13051",27.8,81.6,77.4
"13053",27.7,72.8,75
"13055",26.2,73.9,72.7
"13057",26.5,73.6,73.1
"13059",27.5,71.5,74.3
"13061",28.2,74.2,76.2
"13063",26.9,71.1,73.2
"13065",27.6,79.1,76.5
"13067",26.7,72.4,73.2
"13069",28.1,76,76.5
"13071",27.5,77.5,75.9
"13073",27.7,73.3,75.1
"13075",27.5,80.2,76.6
"13077",26.8,71.9,73.2
"13079",28.1,72.7,75.6
"13081",27.8,75.8,75.9
"13083",25,76.6,71.3
"13085",24.9,74.7,70.7
"13087",27.8,78.6,76.7
"13089",26.7,72.4,73.2
"13091",28.1,73.7,75.9
"13093",27.8,75.8,75.9
"13095",27.8,75.8,75.9
"13097",26.6,72.9,73.1
"13099",27.9,78.3,76.8
"13101",27.8,78.1,76.5
"13103",27.5,81.5,76.9
"13105",27.2,73.9,74.4
"13107",27.8,77,76.2
"13109",27.9,76.6,76.3
"13111",24.4,77.3,70.5
"13113",26.6,72.9,73.1
"13115",26.4,73.2,72.9
"13117",26.7,72.9,73.3
"13119",26.6,73.4,73.3
"13121",26.6,72.9,73.1
"13123",23.9,76.5,69.4
"13125",27.7,73.9,75.3
"13127",27.5,84.5,77.7
"13129",26.2,74.6,72.9
"13131",27.6,79.3,76.5
"13133",27.8,69.1,74.1
"13135",26,71.7,71.8
"13137",25,74.3,70.8
"13139",26.7,72.9,73.3
"13141",27.8,73.9,75.4
"13143",26,72.1,71.9
"13145",27,71.8,73.5
"13147",27.2,73.9,74.4
"13149",26.6,72.9,73.1
"13151",26.9,71.1,73.2
"13153",28,74.2,75.8
"13155",27.8,75.9,76
"13157",26.7,72.9,73.3
"13159",27.7,70.4,74.3
"13161",28.1,75.9,76.5
"13163",27.8,76.8,76.2
"13165",28,75.5,76.2
"13167",27.9,73.8,75.6
"13169",28.1,72.5,75.6
"13171",27.5,71.6,74.3
"13173",27.5,80.2,76.6
"13175",28.2,72,75.6
"13177",27.9,75.4,76
"13179",27.7,82.1,77.4
"13181",27.6,74.5,75.2
"13183",28.1,77.6,76.9
"13185",27.6,79.5,76.6
"13187",24.9,75.1,70.8
"13189",27.6,74.4,75.2
"13191",27.5,84.5,77.7
"13193",28,75.1,76.1
"13195",26.8,71.8,73.2
"13197",27.8,71.8,74.9
"13199",27,71.8,73.5
"13201",27.9,78.3,76.8
"13205",27.7,76.7,76
"13207",28.1,72.5,75.6
"13209",28,76.1,76.4
"13211",27.5,71.5,74.3
"13213",25.4,74.6,71.5
"13215",27.8,72.4,75
"13217",27.5,71.9,74.4
"13219",27.5,71.5,74.3
"13221",27.5,71.7,74.3
"13223",26.5,72.5,72.9
"13225",28.2,73.7,76.1
"13227",26.2,74.6,72.9
"13229",28,78.6,77
"13231",26.9,71.5,73.3
"13233",26.4,73.3,72.9
"13235",27.9,75.3,76
"13237",28.3,71,75.5
"13239",28,74.6,76
"13241",21.2,80.2,65.7
"13243",27.9,75.4,76
"13245",27.7,73.3,75.1
"13247",27.5,71.9,74.4
"13249",27.8,71.8,74.9
"13251",27.8,76.5,76.1
"13253",27.8,78.6,76.7
"13255",26.9,71.5,73.3
"13257",26.6,73.4,73.3
"13259",27.7,72.8,75
"13261",27.9,75.7,76.1
"13263",27.7,72.5,74.9
"13265",27.6,74.4,75.2
"13267",28.2,77.2,77
